2022-04-24 14:08:37 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"Breakpoint 1, \27[33mmain\27[m (\27[36margc\27[m=1, \27[36margv\27[m=0x7fffffffe438) at \27[32m/home/louise/Code/exercises/18. emprunts de livres/main.c\27[m:58\r"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"warning: Source file is more recent than executable.\r"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:58:2602:beg:0x555555555820\r"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:38 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:58"
2022-04-24 14:08:38 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:58)"
2022-04-24 14:08:38 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:38 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:38 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:38 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\r"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:59:2662:beg:0x555555555876\r"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:41 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:59"
2022-04-24 14:08:41 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:59)"
2022-04-24 14:08:41 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:41 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:41 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:41 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\r"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:60:2725:beg:0x5555555558d0"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	""
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:60"
2022-04-24 14:08:42 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:60)"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\r\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:61:2758:beg:0x5555555558d9\r"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:61"
2022-04-24 14:08:42 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:61)"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:42 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:42 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\r"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:36:1782:beg:0x5555555558e8\r"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:43 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:36"
2022-04-24 14:08:43 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:36)"
2022-04-24 14:08:43 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
